timestamp,caller_msisdn,callee_msisdn,duration_sec,call_type,tower_id,tower_location
2026-01-22 23:19:00,+919845002233,+919830011122,240,VOICE,CELL-HWH-002,Howrah
2026-01-22 23:36:00,+919845002233,+919830011122,62,VOICE,CELL-HWH-002,Howrah
2026-01-23 18:01:00,+919007654321,+919845001122,28,VOICE,CELL-HWH-014,Salkia
2026-01-23 18:39:00,+919007654321,+919845001122,240,VOICE,CELL-HWH-014,Salkia
2026-01-23 20:39:00,+919007654321,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-23 22:18:00,+919007654321,+919830011122,17,VOICE,CELL-HWH-014,Salkia
2026-01-23 22:26:00,+919845002233,+919830011122,28,VOICE,CELL-HWH-002,Howrah
2026-01-23 22:44:00,+919007654321,+919830011122,17,VOICE,CELL-HWH-014,Salkia
2026-01-23 23:49:00,+919845002233,+919830011122,45,VOICE,CELL-HWH-002,Howrah
2026-01-24 19:13:00,+919007654321,+919830011122,62,VOICE,CELL-HWH-014,Salkia
2026-01-24 21:01:00,+919007654321,+919830011122,110,VOICE,CELL-HWH-014,Salkia
2026-01-24 22:04:00,+919007654321,+919830011122,28,VOICE,CELL-HWH-014,Salkia
2026-01-24 22:14:00,+919845003344,+919830011122,17,VOICE,CELL-KOL-021,Burrabazar
2026-01-24 22:43:00,+919845002233,+919830011122,240,VOICE,CELL-HWH-002,Howrah
2026-01-24 23:18:00,+919845003344,+919830011122,28,VOICE,CELL-KOL-021,Burrabazar
2026-01-24 23:34:00,+919845003344,+919830011122,62,VOICE,CELL-KOL-021,Burrabazar
2026-01-24 23:55:00,+919845003344,+919830011122,240,VOICE,CELL-KOL-021,Burrabazar
2026-01-25 11:06:00,+919845002233,+919830012345,17,VOICE,CELL-HWH-002,Howrah
2026-01-25 11:30:00,+919830012345,+919845004455,62,VOICE,CELL-KOL-021,Burrabazar
2026-01-25 13:23:00,+919845002233,+919830012345,45,VOICE,CELL-HWH-002,Howrah
2026-01-25 22:31:00,+919845003344,+919830011122,240,VOICE,CELL-KOL-021,Burrabazar
2026-01-25 23:04:00,+919845002233,+919830011122,28,VOICE,CELL-HWH-002,Howrah
2026-01-26 13:16:00,+919845002233,+919830012345,110,VOICE,CELL-HWH-002,Howrah
2026-01-26 23:22:00,+919845002233,+919830011122,240,VOICE,CELL-HWH-002,Howrah
2026-01-26 23:22:00,+919845003344,+919830011122,17,VOICE,CELL-KOL-021,Burrabazar
2026-01-27 09:44:00,+919830012345,+919845004455,62,VOICE,CELL-KOL-021,Burrabazar
2026-01-27 10:34:00,+919830012345,+919845004455,240,VOICE,CELL-KOL-021,Burrabazar
2026-01-27 11:33:00,+919845002233,+919830012345,28,VOICE,CELL-HWH-002,Howrah
2026-01-27 22:05:00,+919007654321,+919830011122,45,VOICE,CELL-HWH-014,Salkia
2026-01-27 22:29:00,+919845002233,+919830011122,240,VOICE,CELL-HWH-002,Howrah
2026-01-28 10:12:00,+919830012345,+919845004455,240,VOICE,CELL-KOL-021,Burrabazar
2026-01-28 11:46:00,+919830012345,+919845004455,28,VOICE,CELL-KOL-021,Burrabazar
2026-01-28 22:09:00,+919845003344,+919830011122,28,VOICE,CELL-KOL-021,Burrabazar
2026-01-28 22:19:00,+919845002233,+919830011122,45,VOICE,CELL-HWH-002,Howrah
2026-01-28 22:46:00,+919845002233,+919830011122,110,VOICE,CELL-HWH-002,Howrah
2026-01-29 09:48:00,+919830012345,+919845004455,240,VOICE,CELL-KOL-021,Burrabazar
2026-01-29 10:51:00,+919830012345,+919845004455,45,VOICE,CELL-KOL-021,Burrabazar
2026-01-29 11:40:00,+919830012345,+919845004455,45,VOICE,CELL-KOL-021,Burrabazar
2026-01-29 11:58:00,+919830012345,+919845004455,45,VOICE,CELL-KOL-021,Burrabazar
2026-01-29 22:10:00,+919845002233,+919830011122,62,VOICE,CELL-HWH-002,Howrah
2026-01-29 23:35:00,+919845003344,+919830011122,62,VOICE,CELL-KOL-021,Burrabazar
